material_abbreviation,material_name,section,property_name,value,english,comments,unit,test_condition,source_file
PET,"Polyethylene Terephthalate (PET), Unreinforced",Electrical Properties,Dissipation Factor,0.00480 - 0.00480,0.00480 - 0.00480,Average value: 0.00480 Grade Count:3,,@Temperature 150 - 150 °C,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Electrical Properties,Dissipation Factor,0.00480 - 0.00480,0.00480 - 0.00480,Average value: 0.00480 Grade Count:3,,@Frequency 50.0 - 50.0 Hz,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Electrical Properties,Dielectric Loss Index,0.00100 - 0.0150,0.00100 - 0.0150,Average value: 0.00855 Grade Count:5,,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Electrical Properties,Arc Resistance,80.0 - 158,80.0 - 158 sec,Average value: 107 sec Grade Count:14,sec,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Electrical Properties,Comparative Tracking Index,35.0 - 600,35.0 - 600 V,Average value: 472 V Grade Count:18,V,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,"CTE, linear",30.6 - 100,17.0 - 55.6 µin/in-°F,Average value: 65.3 µm/m-°C Grade Count:45,µm/m-°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,"CTE, linear, Transverse to Flow",48.0 - 80.0,26.7 - 44.4 µin/in-°F,Average value: 71.1 µm/m-°C Grade Count:9,µm/m-°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,Specific Heat Capacity,1.00 - 1.50,0.240 - 0.359 BTU/lb-°F,Average value: 1.16 J/g-°C Grade Count:27,J/g-°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,Specific Heat Capacity,1.21336 - 2.30,0.290000 - 0.550 BTU/lb-°F,Average value: 1.69 J/g-°C Grade Count:24,J/g-°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,Thermal Conductivity,0.190 - 0.290,1.32 - 2.01 BTU-in/hr-ft²-°F,Average value: 0.266 W/m-K Grade Count:23,W/m-K,@Temperature 60.0 - 280 °C,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,Melting Point,200 - 260,392 - 500 °F,Average value: 246 °C Grade Count:127,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,"Maximum Service Temperature, Air",60.0 - 225,140 - 437 °F,Average value: 130 °C Grade Count:34,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,Deflection Temperature at 0.46 MPa (66 psi),66.0 - 250,151 - 482 °F,Average value: 114 °C Grade Count:34,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,Deflection Temperature at 1.8 MPa (264 psi),60.0 - 230,140 - 446 °F,Average value: 103 °C Grade Count:55,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,Vicat Softening Point,74.0 - 85.0,165 - 185 °F,Average value: 79.5 °C Grade Count:10,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,"Minimum Service Temperature, Air",-50.0 - 20.0,-58.0 - -4.00 °F,Average value: -25.5 °C Grade Count:20,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,"Glass Transition Temp, Tg",70.0 - 82.0,158 - 180 °F,Average value: 75.4 °C Grade Count:12,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,"UL RTI, Electrical",75.0 - 150,167 - 302 °F,Average value: 113 °C Grade Count:7,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,"UL RTI, Mechanical with Impact",75.0 - 150,167 - 302 °F,Average value: 113 °C Grade Count:7,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,"UL RTI, Mechanical without Impact",75.0 - 150,167 - 302 °F,Average value: 113 °C Grade Count:7,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,"Flammability, UL94",HB - 5VB,HB - 5VB,Grade Count:41,,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Thermal Properties,Oxygen Index,22.0 - 25.0,22.0 - 25.0 %,Average value: 24.0 % Grade Count:3,%,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Optical Properties,Refractive Index,1.57 - 1.59,1.57 - 1.59,Average value: 1.58 Grade Count:3,,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Optical Properties,Haze,0.300 - 40.0,0.300 - 40.0 %,Average value: 10.0 % Grade Count:22,%,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Optical Properties,Gloss,108 - 166,108 - 166 %,Average value: 131 % Grade Count:6,%,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Optical Properties,"Transmission, Visible",67.0 - 99.0,67.0 - 99.0 %,Average value: 89.3 % Grade Count:44,%,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Processing Properties,Processing Temperature,90.0 - 300,194 - 572 °F,Average value: 219 °C Grade Count:10,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Processing Properties,Melt Temperature,120 - 295,248 - 563 °F,Average value: 254 °C Grade Count:36,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Processing Properties,Mold Temperature,10.0 - 163,50.0 - 325 °F,Average value: 57.5 °C Grade Count:16,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Processing Properties,Drying Temperature,65.0 - 160,149 - 320 °F,Average value: 98.9 °C Grade Count:14,°C,,Polymers_material_data.csv
PET,"Polyethylene Terephthalate (PET), Unreinforced",Processing Properties,Moisture Content,0.100 - 0.400,0.100 - 0.400 %,Average value: 0.239 % Grade Count:78,%,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Density,0.902 - 0.980,0.0326 - 0.0354 lb/in³,Average value: 0.921 g/cc Grade Count:244,g/cc,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Water Absorption,0.0100,0.0100 %,Average value: 0.0100% Grade Count:13,%,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Moisture Absorption at Equilibrium,0.0100 - 0.100,0.0100 - 0.100 %,Average value: 0.0229% Grade Count:14,%,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Particle Size,5.00 - 50.0,5.00 - 50.0 µm,Average value: 27.5 µm Grade Count:3,µm,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Water Vapor Transmission,18.6 - 26.4,1.20 - 1.70 g/100 in²/day,Average value: 20.5 g/m²/day Grade Count:4,g/m²/day,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Water Vapor Transmission,15.5 - 15.5,0.998 - 0.998 g/100 in²/day,Average value: 15.5 g/m²/day Grade Count:2,g/m²/day,@Temperature 37.8 - 37.8 °C,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Oxygen Transmission,197 - 200,500 - 508 cc-mil/100 in²-24hr-atm,Average value: 199 cc-mm/m²-24hr-atm Grade Count:5,cc-mm/m²-24hr-atm,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Viscosity,21000 - 305000,21000 - 305000 cP,Average value: 91600 cP Grade Count:8,cP,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Viscosity,21000 - 305000,21000 - 305000 cP,Average value: 91600 cP Grade Count:8,cP,@Temperature 190 - 190 °C,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Viscosity,21000 - 305000,21000 - 305000 cP,Average value: 91600 cP Grade Count:8,cP,@Shear Rate 300 - 5000 1/s,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Environmental Stress Crack Resistance,1.00 - 1500,1.00 - 1500 hour,Average value: 290 hour Grade Count:7,hour,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Environmental Stress Crack Resistance,<= 1.00,<= 1.00 hour,Average value: 1.00 hour Grade Count:2,hour,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Environmental Stress Crack Resistance,1.00 - 1.00,1.00 - 1.00 hour,Average value: 1.00 hour Grade Count:1,hour,@Temperature 50.0 - 50.0 °C,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Environmental Stress Crack Resistance,1.00 - 1.00,1.00 - 1.00 hour,Average value: 1.00 hour Grade Count:1,hour,"@Temperature 50.0 - 50.0 °C, @Thickness 2.00 - 2.00 mm",Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Environmental Stress Crack Resistance,1.00 - 1.00,1.00 - 1.00 hour,Average value: 1.00 hour Grade Count:1,hour,@Thickness 2.00 - 2.00 mm,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Maximum Moisture Content,0.100,0.100,Average value: 0.100 Grade Count:3,,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Thickness,5.00 - 300,0.197 - 11.8 mil,Average value: 33.7 microns Grade Count:17,microns,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Linear Mold Shrinkage,0.0100 - 0.0500,0.0100 - 0.0500 in/in,Average value: 0.0225 cm/cm Grade Count:12,cm/cm,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Melt Flow,0.150 - 2300,0.150 - 2300 g/10 min,Average value: 32.6 g/10 min Grade Count:222,g/10 min,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Physical Properties,Base Resin Melt Index,0.500 - 25.0,0.500 - 25.0 g/10 min,Average value: 6.32 g/10 min Grade Count:9,g/10 min,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Hardness, Shore A",81.0 - 97.0,81.0 - 97.0,Average value: 90.8 Grade Count:18,,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Hardness, Shore D",38.0 - 68.0,38.0 - 68.0,Average value: 48.6 Grade Count:143,,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Tensile Strength, Ultimate",2.80 - 56.5,406 - 8200 psi,Average value: 10.8 MPa Grade Count:161,MPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Film Tensile Strength at Yield, MD",9.00 - 30.0,1310 - 4350 psi,Average value: 17.9 MPa Grade Count:15,MPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Film Tensile Strength at Yield, TD",9.00 - 14.1,1310 - 2050 psi,Average value: 11.1 MPa Grade Count:16,MPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Tensile Strength, Yield",7.00 - 64.8,1020 - 9400 psi,Average value: 11.0 MPa Grade Count:167,MPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Film Elongation at Break, MD",110 - 650,110 - 650 %,Average value: 308% Grade Count:22,%,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Film Elongation at Break, TD",380 - 930,380 - 930 %,Average value: 646% Grade Count:21,%,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Elongation at Break,13.5 - 800,13.5 - 800 %,Average value: 322% Grade Count:182,%,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Elongation at Yield,3.00 - 400,3.00 - 400 %,Average value: 28.9% Grade Count:34,%,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Modulus of Elasticity,0.0900 - 0.449,13.1 - 65.1 ksi,Average value: 0.219 GPa Grade Count:62,GPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Flexural Yield Strength,9.03 - 170,1310 - 24700 psi,Average value: 74.6 MPa Grade Count:10,MPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Flexural Modulus,0.0248 - 3.31,3.60 - 480 ksi,Average value: 0.264 GPa Grade Count:128,GPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Secant Modulus,0.132 - 0.834,19.2 - 121 ksi,Average value: 0.280 GPa Grade Count:23,GPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Secant Modulus, MD",0.138 - 0.234,20.0 - 33.9 ksi,Average value: 0.182 GPa Grade Count:12,GPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Secant Modulus, TD",0.152 - 0.276,22.0 - 40.0 ksi,Average value: 0.218 GPa Grade Count:12,GPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Izod Impact, Notched",0.343 - 5340,0.643 - 10000 ft-lb/in,Average value: 1.92 J/cm Grade Count:13,J/cm,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Izod Impact, Notched",0.380 - 1.50,0.712 - 2.81 ft-lb/in,Average value: 0.940 J/cm Grade Count:1,J/cm,@Temperature -40.0 - -20.0 °C,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Izod Impact, Notched (ISO)",42.0 - 55.0,20.0 - 26.2 ft-lb/in²,Average value: 46.8 kJ/m² Grade Count:4,kJ/m²,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Izod Impact, Notched (ISO)",24.0 - 69.4,11.4 - 33.0 ft-lb/in²,Average value: 40.5 kJ/m² Grade Count:10,kJ/m²,@Temperature -50.0 - -50.0 °C,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Charpy Impact Unnotched,30.0,143 ft-lb/in² - NB,Average value: 30.0 J/cm² Grade Count:3,J/cm²,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Charpy Impact Unnotched,>= 30.0,>= 143 ft-lb/in²,Average value: 30.0 J/cm² Grade Count:1,J/cm²,@Temperature -40.0 - -20.0 °C,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Tensile Impact Strength,118 - 315,56.0 - 150 ft-lb/in²,Average value: 223 kJ/m² Grade Count:6,kJ/m²,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Dart Drop, Total Energy",24.4048 - 24.4048,18.0000 - 18.0000 ft-lb,Average value: 24.4 J Grade Count:1,J,@Temperature -20.0 - 20.0 °C,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Instrumented Impact Total Energy,9.90 - 35.3,7.30 - 26.0 ft-lb,Average value: 21.3 J Grade Count:6,J,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Puncture Energy,0.452 - 1.02,0.333 - 0.750 ft-lb,Average value: 0.678 J Grade Count:3,J,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Coefficient of Friction,0.120 - 0.700,0.120 - 0.700,Average value: 0.417 Grade Count:4,,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Elmendorf Tear Strength MD,220 - 460,220 - 460 g,Average value: 286 g Grade Count:8,g,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Elmendorf Tear Strength TD,55.0 - 570,55.0 - 570 g,Average value: 204 g Grade Count:9,g,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Elmendorf Tear Strength, MD",8.00 - 18.2,203 - 463 g/mil,Average value: 12.4 g/micron Grade Count:7,g/micron,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Elmendorf Tear Strength, TD",1.84 - 45.8,46.7 - 1160 g/mil,Average value: 16.2 g/micron Grade Count:7,g/micron,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Dart Drop,2.36 - 30.0,59.9 - 762 g/mil,Average value: 6.06 g/micron Grade Count:12,g/micron,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Dart Drop Test,55.0 - 210,0.121 - 0.463 lb,Average value: 107 g Grade Count:14,g,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Film Tensile Strength at Break, MD",20.0 - 59.0,2900 - 8560 psi,Average value: 28.5 MPa Grade Count:20,MPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,"Film Tensile Strength at Break, TD",13.4 - 45.0,1950 - 6530 psi,Average value: 21.2 MPa Grade Count:20,MPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Torsional Stiffness,159 - 1030,23100 - 149000 psi,Average value: 709 MPa Grade Count:6,MPa,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Mechanical Properties,Heat Seal Strength Initiation Temperature,96.0 - 105,205 - 221 °F,Average value: 101 °C Grade Count:3,°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Electrical Properties,Electrical Resistivity,1.00e+15 - 1.00e+16,1.00e+15 - 1.00e+16 ohm-cm,Average value: 1.69e+15 ohm-cm Grade Count:13,ohm-cm,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Electrical Properties,Surface Resistance,100 - 1.00e+14,100 - 1.00e+14 ohm,Average value: 9.17e+13 ohm Grade Count:13,ohm,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Electrical Properties,Dielectric Constant,2.30 - 2.60,2.30 - 2.60,Average value: 2.33 Grade Count:12,,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Electrical Properties,Dissipation Factor,0.000200,0.000200,Average value: 0.000200 Grade Count:12,,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Electrical Properties,Comparative Tracking Index,600,600 V,Average value: 600 V Grade Count:12,V,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Thermal Properties,"CTE, linear",180 - 230,100 - 128 µin/in-°F,Average value: 218 µm/m-°C Grade Count:12,µm/m-°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Thermal Properties,Melting Point,95.0 - 327,203 - 621 °F,Average value: 113 °C Grade Count:105,°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Thermal Properties,Crystallization Temperature,95.6 - 104,204 - 219 °F,Average value: 99.9 °C Grade Count:3,°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Thermal Properties,Deflection Temperature at 0.46 MPa (66 psi),37.2 - 75.0,99.0 - 167 °F,Average value: 47.0 °C Grade Count:21,°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Thermal Properties,Deflection Temperature at 1.8 MPa (264 psi),38.0 - 101,100 - 214 °F,Average value: 67.4 °C Grade Count:4,°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Thermal Properties,Vicat Softening Point,52.0 - 129,126 - 264 °F,Average value: 89.7 °C Grade Count:195,°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Thermal Properties,Brittleness Temperature,-87.0 - 0.000,-125 - 32.0 °F,Average value: -51.9 °C Grade Count:104,°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Thermal Properties,"Flammability, UL94",HB,HB,Grade Count:14,,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Thermal Properties,Oxygen Index,17.0,17.0 %,Average value: 17.0% Grade Count:11,%,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Thermal Properties,Ring & Ball Softening Point,109 - 130,228 - 266 °F,Average value: 118 °C Grade Count:4,°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Optical Properties,Haze,3.30 - 20.0,3.30 - 20.0 %,Average value: 9.31% Grade Count:20,%,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Optical Properties,Gloss,8.50 - 91.0,8.50 - 91.0 %,Average value: 62.5% Grade Count:21,%,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Optical Properties,"Transmission, Visible",50.0 - 95.0,50.0 - 95.0 %,Average value: 76.3% Grade Count:4,%,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Processing Properties,Processing Temperature,82.2 - 260,180 - 500 °F,Average value: 174 °C Grade Count:20,°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Processing Properties,Nozzle Temperature,177,350 °F,Average value: 177 °C Grade Count:3,°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Processing Properties,Melt Temperature,105 - 332,221 - 630 °F,Average value: 204 °C Grade Count:30,°C,,Polymers_material_data.csv
LDPE,"Low Density Polyethylene (LDPE), Molded",Processing Properties,Mold Temperature,5.00 - 65.6,41.0 - 150 °F,Average value: 26.2 °C Grade Count:18,°C,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Physical Properties,Density,0.928 - 0.950,0.0335 - 0.0343 lb/in³,Average value: 0.938 g/cc Grade Count:36,g/cc,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Physical Properties,Water Absorption,0.0100%,0.0100%,Average value: 0.0100% Grade Count:4,%,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Physical Properties,Environmental Stress Crack Resistance,30.0 - 5000,30.0 - 5000 hour,Average value: 1070 hour Grade Count:8,hour,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Physical Properties,Environmental Stress Crack Resistance,19.0 - 220,19.0 - 220 hour,Average value: 876 hour Grade Count:16,hour,@Temperature 30.0 - 50.0 °C,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Physical Properties,Melt Flow,0.0900 - 85.0,0.0900 - 85.0 g/10 min,Average value: 9.74 g/10 min Grade Count:36,g/10 min,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Mechanical Properties,"Hardness, Shore D",59.0 - 63.0,59.0 - 63.0,Average value: 61.4 Grade Count:9,,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Mechanical Properties,"Tensile Strength, Ultimate",9.20 - 33.0,1330 - 4790 psi,Average value: 18.9 MPa Grade Count:13,MPa,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Mechanical Properties,"Tensile Strength, Yield",14.0 - 24.1,2030 - 3500 psi,Average value: 19.5 MPa Grade Count:24,MPa,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Mechanical Properties,Elongation at Break,16.0 - 1210%,16.0 - 1210%,Average value: 463% Grade Count:18,%,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Mechanical Properties,Elongation at Yield,8.00 - 13.0%,8.00 - 13.0%,Average value: 10.9% Grade Count:10,%,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Mechanical Properties,Modulus of Elasticity,0.350 - 0.840,50.8 - 122 ksi,Average value: 0.648 GPa Grade Count:7,GPa,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Mechanical Properties,Flexural Modulus,0.480 - 0.970,69.6 - 141 ksi,Average value: 0.769 GPa Grade Count:27,GPa,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Mechanical Properties,"Izod Impact, Notched",1.44 - 5.60,2.70 - 10.5 ft-lb/in,Average value: 3.77 J/cm Grade Count:3,J/cm,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Mechanical Properties,"Charpy Impact, Notched",0.800 - 0.800,3.81 - 3.81 ft-lb/in²,Average value: 0.800 J/cm² Grade Count:1,J/cm²,@Temperature -30.0 - -30.0 °C,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Mechanical Properties,Tensile Impact Strength,130 - 353,61.9 - 168 ft-lb/in²,Average value: 221 kJ/m² Grade Count:4,kJ/m²,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Electrical Properties,Electrical Resistivity,1.00e+15,1.00e+15 ohm-cm,Average value: 1.00e+15 ohm-cm Grade Count:3,ohm-cm,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Thermal Properties,"CTE, linear",90.0 - 500,50.0 - 278 µin/in-°F,Average value: 295 µm/m-°C Grade Count:1,µm/m-°C,@Temperature -20.0 - 100 °C,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Thermal Properties,Melting Point,117 - 131,243 - 268 °F,Average value: 126 °C Grade Count:11,°C,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Thermal Properties,Deflection Temperature at 0.46 MPa (66 psi),47.0 - 77.8,117 - 172 °F,Average value: 54.7 °C Grade Count:19,°C,0.46 MPa (66 psi),Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Thermal Properties,Deflection Temperature at 1.8 MPa (264 psi),37.3 - 41.0,99.1 - 106 °F,Average value: 38.5 °C Grade Count:17,°C,1.8 MPa (264 psi),Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Thermal Properties,Vicat Softening Point,62.0 - 124,144 - 255 °F,Average value: 104 °C Grade Count:14,°C,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Thermal Properties,Brittleness Temperature,-118 - -70.0,-180 - -94.0 °F,Average value: -90.6 °C Grade Count:5,°C,,Polymers_material_data.csv
MDPE,"Medium Density Polyethylene (MDPE), Molded",Thermal Properties,"Flammability, UL94",HB,HB,Grade Count:4,,UL94,Polymers_material_data.csv
